Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[323 ]=319.147              x[2098]=143.888              x[3873]=162.784              x[5648]=66.2125              
x[324 ]=135.8                x[2099]=338.995              x[3874]=33.4437              x[5649]=181.301              
x[325 ]=318.14               x[2100]=144.734              x[3875]=162.192              x[5650]=69.7134              
x[326 ]=135.724              x[2101]=340.561              x[3876]=24.698               x[5651]=182.207              
x[327 ]=317.235              x[2102]=145.59               x[3877]=161.685              x[5652]=72.7871              
x[328 ]=135.739              x[2103]=342.141              x[3878]=14.6328              x[5653]=183.214              
x[329 ]=316.418              x[2104]=146.674              x[3879]=161.2                x[5654]=75.2332              
x[330 ]=135.712              x[2105]=343.838              x[3880]=2.82341              x[5655]=184.18               
x[331 ]=315.633              x[2106]=147.997              x[3881]=160.512              x[5656]=77.3802              
x[332 ]=135.764              x[2107]=345.643              x[3882]=-10.6176             x[5657]=185.201              
x[333 ]=314.939              x[2108]=149.367              x[3883]=159.572              x[5658]=79.2957              
x[334 ]=135.873              x[2109]=347.44               x[3884]=-25.7871             x[5659]=186.275              
x[335 ]=314.322              x[2110]=150.999              x[3885]=158.242              x[5660]=80.7498              
x[336 ]=135.909              x[2111]=349.327              x[3886]=211.044              x[5661]=187.263              
x[337 ]=313.726              x[2112]=152.9                x[3887]=257.513              x[5662]=82.0458              
x[338 ]=135.991              x[2113]=351.286              x[3888]=195.139              x[5663]=188.27               
x[339 ]=313.21               x[2114]=154.875              x[3889]=254.874              x[5664]=83.2296              
x[340 ]=136.099              x[2115]=353.192              x[3890]=180.666              x[5665]=189.299              
x[341 ]=312.761              x[2116]=157.134              x[3891]=251.562              x[5666]=84.0529              
x[342 ]=136.1                x[2117]=355.132              x[3892]=167.607              x[5667]=190.221              
x[343 ]=312.324              x[2118]=159.677              x[3893]=247.787              x[5668]=84.8039              
x[344 ]=136.114              x[2119]=357.08               x[3894]=155.712              x[5669]=191.143              
x[345 ]=311.957              x[2120]=162.301              x[3895]=243.688              x[5670]=85.5161              
x[346 ]=136.117              x[2121]=358.898              x[3896]=145.242              x[5671]=192.077              
x[347 ]=311.648              x[2122]=165.208              x[3897]=239.58               x[5672]=85.9307              
x[348 ]=135.977              x[2123]=360.665              x[3898]=136.14               x[5673]=192.895              
x[349 ]=311.342              x[2124]=168.388              x[3899]=235.613              x[5674]=86.3273              
x[350 ]=135.809              x[2125]=362.341              x[3900]=128.074              x[5675]=193.711              
x[351 ]=311.099              x[2126]=171.63               x[3901]=231.798              x[5676]=86.7326              
x[352 ]=135.589              x[2127]=363.783              x[3902]=121.226              x[5677]=194.536              
x[353 ]=310.905              x[2128]=175.125              x[3903]=228.334              x[5678]=86.8817              
x[354 ]=135.181              x[2129]=365.06               x[3904]=115.471              x[5679]=195.248              
x[355 ]=310.705              x[2130]=178.858              x[3905]=225.245              x[5680]=87.0497              
x[356 ]=134.697              x[2131]=366.129              x[3906]=110.43               x[5681]=195.96               
x[357 ]=310.561              x[2132]=182.608              x[3907]=222.426              x[5682]=87.2591              
x[358 ]=134.108              x[2133]=366.842              x[3908]=106.261              x[5683]=196.687              
x[359 ]=310.459              x[2134]=186.567              x[3909]=219.985              x[5684]=87.242               
x[360 ]=133.275              x[2135]=367.275              x[3910]=102.844              x[5685]=197.305              
x[361 ]=310.344              x[2136]=190.72               x[3911]=217.882              x[5686]=87.2707              
x[362 ]=132.308              x[2137]=367.395              x[3912]=99.815               x[5687]=197.931              
x[363 ]=310.276              x[2138]=194.857              x[3913]=215.972              x[5688]=87.3657              
x[364 ]=131.172              x[2139]=367.076              x[3914]=97.3651              x[5689]=198.579              
x[365 ]=310.239              x[2140]=199.191              x[3915]=214.342              x[5690]=87.2575              
x[366 ]=129.725              x[2141]=366.416              x[3916]=95.4078              x[5691]=199.126              
x[367 ]=310.179              x[2142]=203.747              x[3917]=212.947              x[5692]=87.217               
x[368 ]=128.073              x[2143]=365.349              x[3918]=93.6155              x[5693]=199.689              
x[369 ]=310.151              x[2144]=47.8935              x[3919]=211.644              x[5694]=87.2639              
x[370 ]=126.179              x[2145]=297.625              x[3920]=92.2122              x[5695]=200.283              
x[371 ]=310.139              x[2146]=56.6281              x[3921]=210.53               x[5696]=87.1281              
x[372 ]=123.898              x[2147]=300.121              x[3922]=91.1406              x[5697]=200.786              
x[373 ]=310.082              x[2148]=64.7696              x[3923]=209.569              x[5698]=87.0805              
x[374 ]=121.333              x[2149]=302.26               x[3924]=90.0986              x[5699]=201.313              
x[375 ]=310.031              x[2150]=72.4046              x[3925]=208.629              x[5700]=87.141               
x[376 ]=118.448              x[2151]=304.075              x[3926]=89.3316              x[5701]=201.881              
x[377 ]=309.963              x[2152]=79.4343              x[3927]=207.817              x[5702]=87.0397              
x[378 ]=115.098              x[2153]=305.53               x[3928]=88.8                 x[5703]=202.368              
x[379 ]=309.81               x[2154]=85.9855              x[3929]=207.106              x[5704]=87.0488              
x[380 ]=111.388              x[2155]=306.713              x[3930]=88.2168              x[5705]=202.891              
x[381 ]=309.614              x[2156]=92.0768              x[3931]=206.371              x[5706]=87.1893              
